"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
"ILMN_1715748",1916.93582261381,-2.33998506821316,0.505830341326936,-4.62602749782608,3.72745833007971e-06,0.000329775496549329,"FLNC"
"ILMN_1717639",2299.08211751992,-2.51468215345903,0.500098069177459,-5.02837804911961,4.9464593642753e-07,7.09089498278759e-05,"SIK1"
"ILMN_1721449",1255.97478732693,-2.15171459380748,0.580998917162882,-3.70347436156107,0.000212666683442202,0.00569526052251261,"VSX2"
"ILMN_1722825",1086.11607424711,-2.22040487510462,0.520653461129879,-4.26465017688748,2.00215642516156e-05,0.00111583798938266,"LINC00304"
"ILMN_1723522",1640.21749357706,-2.56976580397276,0.407054013514374,-6.31308307658294,2.73530562829906e-10,1.35787662921876e-07,"APOLD1"
"ILMN_1727364",1043.41037573451,-2.22318460256623,0.544847931173827,-4.08037633138586,4.49628461252186e-05,0.00200886502679789,"TRIM7"
"ILMN_1727589",1478.97411292028,-2.39882394187325,0.634595985831093,-3.78008054799094,0.00015677763143502,0.00459398138289298,"SULT2B1"
"ILMN_1728677",2029.06621630548,-2.16508295657423,0.375824577489022,-5.76088709003464,8.36730013349804e-09,2.52024960313126e-06,"CREB5"
"ILMN_1731742",1432.80565792498,-2.48392118965389,0.520946879354493,-4.76808920082547,1.85981440429071e-06,0.000201846334962838,"TNFRSF13C"
"ILMN_1732143",2678.58635717526,-2.06629948508532,0.678386441333557,-3.0459032775234,0.00231982448097483,0.0260845096842253,"LINC00173"
"ILMN_1736969",3366.83827661249,-2.31176695179849,0.523687921586854,-4.41439807279398,1.01291425435692e-05,0.000678829810413646,"SLITRK3"
"ILMN_1738401",1064.25690461085,-2.02489704964,0.365769661084552,-5.53598962701262,3.0947588303554e-08,7.5419272695761e-06,"FOXC1"
"ILMN_1740426",1373.41432278924,-2.07686748698344,0.652914184972093,-3.18091953703259,0.00146808398675177,0.0197267806680976,"RASD1"
"ILMN_1740915",1130.50884809111,-2.03635631077126,0.521785072799961,-3.90267260779218,9.51363477454321e-05,0.00335127473588935,NA
"ILMN_1740917",1444.19118283298,-2.01123911383696,0.559280935045494,-3.59611599074687,0.000323003820291194,0.00762215088956518,"SCNN1B"
"ILMN_1743445",3618.64430829632,-2.51633897743091,0.285326479829523,-8.81915684423813,1.15324805983933e-18,1.03050402467043e-14,"FAM107A"
"ILMN_1745395",1671.30131209918,-2.02761709111316,0.621681672203703,-3.26150372734292,0.00110822975565663,0.0166246866591423,"CTCFL"
"ILMN_1748751",1236.71912976031,-2.31514857686022,0.36336418695863,-6.37142750978869,1.87276805482591e-10,1.09137594012431e-07,"C2CD4B"
"ILMN_1748915",2399.35871672272,-2.35156436919535,0.426955988602036,-5.50774419840082,3.63461028607593e-08,8.57461785809627e-06,"S100A12"
"ILMN_1749575",10800.8727655091,2.08340559219786,0.448983739997546,4.64026958350262,3.47954955682176e-06,0.000315743505303717,"CYP7A1"
"ILMN_1749984",1060.38383869228,-2.30504374937856,0.50902182566372,-4.52837900687851,5.94378996413598e-06,0.000461131514668777,NA
"ILMN_1751495",1717.46448017955,-2.01410787232078,0.420012336652898,-4.79535408024278,1.62387740672026e-06,0.000182139253732008,"FGF14"
"ILMN_1751607",4195.91831768796,-5.13551084554046,0.546400034388691,-9.3988113512585,5.518292883123e-21,1.47928877317878e-16,"FOSB"
"ILMN_1755796",995.746308863005,-2.20329584495013,0.55062004405195,-4.00148136405701,6.29471536507166e-05,0.00249708850818569,"BEST2"
"ILMN_1758066",1506.94247663781,-2.28523634006131,0.669110085727804,-3.41533686131127,0.000637031761173429,0.0118672066864323,"DSCR8"
"ILMN_1758529",1086.50906403368,-2.0342196191067,0.443692674376844,-4.58474916666972,4.54531762789042e-06,0.000380769780158933,"P2RX1"
"ILMN_1759787",3005.31522566676,-2.16659516160832,0.402563464035961,-5.3819965177336,7.36641903507598e-08,1.50741675628459e-05,"THBD"
"ILMN_1767129",701.375869817619,-2.11860677790951,0.460992290411754,-4.59575316545357,4.31188901282665e-06,0.000370476951175782,"ABCC8"
"ILMN_1767643",927.390716736196,-2.06938120731583,0.508071615508784,-4.07301085939144,4.64092596064957e-05,0.00204957664295112,"CTRB2"
"ILMN_1768099",1168.06307221925,-2.27648605021776,0.565061006769096,-4.02874383995145,5.6075678640636e-05,0.00230202253800847,"SCGB1C1"
"ILMN_1768469",1245.87901778547,-3.37302711438885,0.701327928402606,-4.80948637261815,1.51318611138028e-06,0.000174844741757634,"TCN1"
"ILMN_1769471",1512.54581075594,-2.24381305501818,0.671009559737506,-3.3439360474923,0.000825987758422794,0.0138285672044223,NA
"ILMN_1769492",2003.64355073033,-2.13147763170008,0.749038600765664,-2.8456178753956,0.00443253506289737,0.0384914050635211,"CACNG2"
